jahr,reise,stadt,land,zoo_name,start_lat,start_lon,fin_lat,fin_lon,comment,link_photo,link_logo,text,link_report
1966,,Halle,DDR,Zoo Halle,51.34838942,12.37031027,51.49496585,11.96345781,,,,,
1967,,Berlin,DDR,Tierpark Berlin Friedrichsfelde,51.34838942,12.37031027,52.50206008,13.5296012,,,,,
1968,,Schoenefeld,DDR,Zirkus Berolina,51.34838942,12.37031027,52.36243851,13.55611166,,,,,
1969,Moritzburg-Dresden 1969,Moritzburg,DDR,Hengstparade Moritzburg,51.34838942,12.37031027,51.16135493,13.67211308,,,,,
1969,Moritzburg-Dresden 1969,Dresden,DDR,Zoo Dresden,51.16135493,13.67211308,51.04611204,13.73888725,,,,,
1969,,Schoenefeld,DDR,Zirkus Berolina,51.34838942,12.37031027,52.36243851,13.55611166,,,,,
1970,Moritzburg-Dresden 1970,Moritzburg,DDR,Hengstparade Moritzburg,51.34838942,12.37031027,51.16135493,13.67211308,,,,,
1970,Moritzburg-Dresden 1970,Dresden,DDR,Zoo Dresden,51.16135493,13.67211308,51.04611204,13.73888725,,,,,
1971,,Moritzburg,DDR,Hengstparade Moritzburg,51.34838942,12.37031027,51.16135493,13.67211308,,,,,
1971,,Erfurt,DDR,Zoo Erfurt,51.34838942,12.37031027,50.9852767,11.02243273,,,,,
1972,,Magdeburg,DDR,Zoo Magdeburg,51.34838942,12.37031027,52.12381531,11.61745362,,,,,
1972,,,DDR,Zirkus Busch,51.34838942,12.37031027,,,unknown location of the Circus,,,,
1973,Czechoslovakia Reise,Prag,Tschechoslowakei,Zoo Prag,51.34838942,12.37031027,50.06994104,14.43111352,,,,,
1973,Czechoslovakia Reise,Usti nad Labem,Tschechoslowakei,Zoo Usti nad Labem,50.06994104,14.43111352,50.66057255,14.05275417,,,,,
1973,Czechoslovakia Reise,Liberec,Tschechoslowakei,Zoo Liberec,50.66057255,14.05275417,50.76824618,15.05508106,,,,,
1973,,Moritzburg,DDR,Hengstparade Moritzburg,51.34838942,12.37031027,51.16135493,13.67211308,,,,,
1974,,Moritzburg,DDR,Hengstparade Moritzburg,51.34838942,12.37031027,51.16135493,13.67211308,,,,,
1974,,Eschefelder Teiche,DDR,Eschefelder Teiche,51.34838942,12.37031027,51.0461891,12.53874875,1 von 1974,,,,
1974,,Eschefelder Teiche,DDR,Eschefelder Teiche,51.34838942,12.37031027,51.0461891,12.53874875,2 von 1974,,,,
1974,,Dvur Kralove,Tschechoslowakei,Zoo Dvur Kralove,51.34838942,12.37031027,50.43109258,15.81248125,,,,,
1975,,Eschefelder Teiche,DDR,Eschefelder Teiche,51.34838942,12.37031027,51.0461891,12.53874875,,,,,
1975,,Cottbus,DDR,Tierpark Cottbus,51.34838942,12.37031027,51.75869913,14.33002436,,,,,
